"id_player","ranked","player_name","player_position","age","team","games_played","games_started","minutes_played"
"brogdma01","65","Malcolm Brogdon","PG","31","Portland Trail Blazers","39","25","1121"
"brookar01","66","Armoni Brooks","PG","25","Brooklyn Nets","10","0","104"
"brookdi01","67","Dillon Brooks","SF","28","Houston Rockets","72","72","2227"
"brownbr01","68","Bruce Brown","SG","27","Indiana Pacers","33","33","981"
"brownbr01","68","Bruce Brown","PG","27","Toronto Raptors","34","11","885"
"brownch02","69","Charlie Brown Jr.","SG","26","New York Knicks","8","0","37"
"browngr01","70","Greg Brown III","PF","22","Dallas Mavericks","6","0","40"
"brownja02","71","Jaylen Brown","SF","27","Boston Celtics","70","70","2343"
"brownke03","72","Kendall Brown","SG","20","Indiana Pacers","15","0","63"
"brownko01","73","Kobe Brown","PF","24","Los Angeles Clippers","44","0","394"
"brownmo01","74","Moses Brown","C","24","Portland Trail Blazers","22","5","200"
"browntr01","75","Troy Brown Jr.","SF","24","Minnesota Timberwolves","37","3","410"
"browntr01","75","Troy Brown Jr.","SF","24","Detroit Pistons","22","12","417"
"brunsja01","76","Jalen Brunson","PG","27","New York Knicks","77","77","2726"
"bryanth01","77","Thomas Bryant","C","26","Miami Heat","38","4","441"
"bufkiko01","78","Kobe Bufkin","SG","20","Atlanta Hawks","17","0","196"
"bullore01","79","Reggie Bullock","SF","32","Houston Rockets","44","0","417"
"burksal01","80","Alec Burks","SG","32","Detroit Pistons","43","0","901"
"burksal01","80","Alec Burks","SG","32","New York Knicks","23","1","311"
"butleja02","81","Jared Butler","SG","23","Washington Wizards","40","0","566"
"butleji01","82","Jimmy Butler","PF","34","Miami Heat","60","60","2042"
"cainja01","83","Jamal Cain","PF","24","Miami Heat","26","1","259"
"caldwke01","84","Kentavious Caldwell-Pope","SG","30","Denver Nuggets","76","76","2402"
"camarto01","85","Toumani Camara","PF","23","Portland Trail Blazers","70","49","1739"
"capelca01","86","Clint Capela","C","29","Atlanta Hawks","73","73","1883"
