"id_player","ranked","player_name","player_position","age","team","field_goal","field_goal_attempts","three_points","three_points_attempts","two_points","two_points_attempts","free_throws","free_throws_attempts","offensive_rebounds","defensive_rebounds","total_rebounds","assists","steals","blocks","turnovers","personal_fouls","points"
"reedpa01","427","Paul Reed","C","24","Philadelphia 76ers","259","480","21","57","238","423","61","85","193","295","488","109","67","84","67","198","600"
"reidna01","428","Naz Reid","C","24","Minnesota Timberwolves","406","851","169","408","237","443","109","148","73","350","423","106","63","73","111","172","1090"
"rhodeja01","429","Jared Rhoden","SG","24","Detroit Pistons","33","66","12","31","21","35","5","8","3","30","33","14","3","13","7","28","83"
"richani01","430","Nick Richards","C","26","Charlotte Hornets","260","376","0","1","260","375","132","179","172","367","539","54","26","74","73","176","652"
"richajo01","431","Josh Richardson","SG","30","Miami Heat","154","347","66","190","88","157","51","54","18","103","121","105","24","14","36","76","425"
"robindu01","432","Duncan Robinson","SF","29","Miami Heat","304","675","187","473","117","202","80","90","15","158","173","192","46","16","95","163","875"
"robinje01","433","Jerome Robinson","SG","26","Golden State Warriors","11","33","2","17","9","16","7","11","1","5","6","5","1","3","2","5","31"
"robinmi01","434","Mitchell Robinson","C","25","New York Knicks","73","127","0","0","73","127","27","66","142","121","263","18","37","35","25","55","173"
"robinor01","435","Orlando Robinson","C","23","Miami Heat","36","72","8","15","28","57","19","25","28","56","84","34","7","8","18","35","99"
"robinje02","436","Jeremiah Robinson-Earl","PF","23","New Orleans Pelicans","45","95","13","39","32","56","12","16","23","53","76","21","10","4","16","24","115"
"roddyda01","437","David Roddy","PF","22","Memphis Grizzlies","155","386","47","156","108","230","46","67","51","149","200","76","25","11","54","68","403"
"roddyda01","437","David Roddy","PF","22","Phoenix Suns","10","23","1","8","9","15","1","1","2","9","11","4","2","0","3","4","22"
"rolliry01","438","Ryan Rollins","PG","21","Washington Wizards","13","25","2","3","11","22","13","17","2","9","11","11","8","3","7","7","41"
"rolliry01","438","Ryan Rollins","PG","21","Milwaukee Bucks","1","2","1","1","0","1","0","0","0","2","2","3","2","0","1","1","3"
"rosede01","439","Derrick Rose","PG","35","Memphis Grizzlies","76","165","15","41","61","124","24","27","7","38","45","78","8","2","31","21","191"
"roziete01","440","Terry Rozier","SG","29","Charlotte Hornets","252","549","83","232","169","317","109","129","17","100","117","198","32","12","65","52","696"
"roziete01","440","Terry Rozier","PG","29","Miami Heat","190","449","66","178","124","271","63","69","18","112","130","144","31","9","41","49","509"
"ruperra01","441","Rayan Rupert","SG","19","Portland Trail Blazers","54","161","28","78","26","83","19","25","24","68","92","62","12","3","31","56","155"
"russeda01","442","DAngelo Russell","PG","27","Los Angeles Lakers","492","1080","226","545","266","535","159","192","28","208","236","482","69","36","156","156","1369"
"ryanma01","443","Matt Ryan","SF","26","New Orleans Pelicans","49","113","41","91","8","22","13","14","6","34","40","18","6","1","19","32","152"
"sabondo01","444","Domantas Sabonis","C","27","Sacramento Kings","634","1068","33","87","601","981","292","415","294","826","1120","673","74","48","272","250","1593"
"samanlu01","445","Luka Samanic","PF","24","Utah Jazz","60","158","13","64","47","94","44","56","22","80","102","19","5","7","28","32","177"
"samueje01","446","Jermaine Samuels","SF","25","Houston Rockets","9","14","0","2","9","12","2","2","3","10","13","3","1","2","0","5","20"
"sanogad01","447","Adama Sanogo","PF","21","Chicago Bulls","14","27","0","0","14","27","8","12","19","17","36","0","1","0","5","5","36"
"santogu01","448","Gui Santos","PF","21","Golden State Warriors","28","55","10","27","18","28","16","17","17","32","49","14","4","2","7","23","82"
"saricda01","449","Dario Saric","C","29","Golden State Warriors","181","388","74","197","107","191","79","93","73","210","283","144","31","10","78","112","515"
"sarrol01","450","Olivier Sarr","C","24","Oklahoma City Thunder","11","19","2","6","9","13","10","15","10","26","36","2","0","7","3","18","34"
"sassema01","451","Marcus Sasser","PG","23","Detroit Pistons","219","512","90","240","129","272","58","66","11","114","125","236","44","12","90","103","586"
"schofad01","452","Admiral Schofield","PF","26","Orlando Magic","10","26","6","16","4","10","0","2","3","14","17","7","1","0","5","9","26"
"schrode01","453","Dennis Schröder","PG","30","Toronto Raptors","247","559","77","220","170","339","127","149","22","118","140","313","46","8","83","105","698"
"schrode01","453","Dennis Schröder","PG","30","Brooklyn Nets","156","368","61","148","95","220","51","64","17","85","102","175","17","9","70","59","424"
